"year","state","n_jobs","population","jobs_per_cap","jobs_per_10k","log_jobs_per_10k","jobs_pct"
2017,"Ohio",145494,11665706,0.0124719412609918,124.719412609918,4.82606651506812,0.28
2023,"Montana",348198,1131302,0.3077851891007,3077.851891007,8.03198719465987,0.9
2022,"New Hampshire",563786,1396678,0.403662118254888,4036.62118254888,8.30316328007373,0.98
2021,"Utah",787954,3339738,0.235932878567121,2359.32878567121,7.76613244471547,0.72
2020,"Utah",222773,3284077,0.0678342803777134,678.342803777134,6.51965277045334,0.76
2023,"Tennessee",1782495,7148304,0.249359148687577,2493.59148687577,7.82147931445779,0.46
2023,"Georgia",2588680,11064432,0.233964111307295,2339.64111307295,7.75775282610765,0.36
2017,"Massachusetts",132161,6863560,0.0192554592660369,192.554592660369,5.26037971175714,0.9
2023,"Delaware",265213,1036423,0.255892622992736,2558.92622992736,7.84734300804882,0.54
2020,"Oregon",263686,4243779,0.062134715309162,621.347153091619,6.43188994843032,0.52
2018,"Tennessee",125358,6778180,0.0184943450896848,184.943450896848,5.22005010752363,0.38
2020,"New Hampshire",118850,1378756,0.0862008941393546,862.008941393546,6.75926564345624,0.98
2022,"Minnesota",2075010,5721621,0.362661210870136,3626.61210870136,8.19605418807206,0.9
2022,"Montana",325806,1122095,0.290355094711232,2903.55094711232,7.97368973145076,0.4
2022,"Virginia",2864470,8683414,0.329878317445189,3298.78317445189,8.10130894444052,0.82
2022,"Michigan",2663692,10050877,0.265020853404136,2650.20853404136,7.88239360797529,0.32
2023,"Arkansas",600926,3069463,0.195775612867788,1957.75612867788,7.57955426409627,0.06
2024,"South Dakota",315724,924669,0.341445425335985,3414.45425335985,8.13577295055472,0.88
2021,"Vermont",168614,647210,0.260524404752708,2605.24404752708,7.8652816340708,0.9
2024,"West Virginia",459434,1769979,0.259570311286179,2595.70311286179,7.8616127079796,0.52
2020,"Georgia",610466,10732888,0.0568780741958735,568.780741958735,6.34349502059999,0.3
2017,"North Carolina",130652,10275758,0.0127145851430133,127.145851430133,4.84533486396764,0.34
2018,"Ohio",247137,11680892,0.0211573739402778,211.573739402779,5.35457358738069,0.68
2021,"Maryland",1363269,6179403,0.220615001157879,2206.15001157879,7.69900419912374,0.56
2020,"Wyoming",37383,577681,0.0647121854449082,647.121854449082,6.47253461440142,0.66
2024,"Oregon",1130836,4272371,0.264685814972529,2646.85814972529,7.88112861171873,0.56
2017,"Texas",286860,28291024,0.010139611772271,101.39611772271,4.61903480366584,0.08
2022,"Nevada",767648,3176116,0.241693943168323,2416.93943168323,7.79025732109418,0.12
2021,"Louisiana",638873,4627971,0.138046024921072,1380.46024921072,7.23017223646866,0.04
2023,"Idaho",409577,1971122,0.207788761933559,2077.88761933559,7.63910708903003,0.2
2024,"Delaware",292476,1051917,0.278040948097616,2780.40948097616,7.93035349115296,0.66
2024,"Mississippi",524769,2943045,0.17830818081273,1783.0818081273,7.48609849910295,0
2023,"Louisiana",856220,4588071,0.186618733668245,1866.18733668245,7.53165277116038,0.02
2021,"Colorado",1567232,5814036,0.269560078403367,2695.60078403367,7.89937638392885,0.94
2024,"Michigan",2194689,10140459,0.216428960464216,2164.28960464216,7.67984745940502,0.2
2020,"Arizona",449311,7187135,0.0625160095086568,625.160095086568,6.43800776907355,0.58
2024,"Pennsylvania",3244260,13078751,0.248055796765303,2480.55796765303,7.81623880081012,0.44
2024,"Utah",760650,3503613,0.217104457598485,2171.04457598485,7.68296370213404,0.24
2017,"Georgia",131963,10417031,0.0126680049238598,126.680049238598,4.84166461035522,0.3
2024,"Nevada",620486,3267467,0.189898168826189,1898.98168826189,7.54907306793372,0.04
2021,"Connecticut",773750,3606607,0.214536820895651,2145.36820895651,7.67106647581755,0.46
2022,"South Carolina",1504125,5287935,0.284444683983445,2844.44683983445,7.95312389526038,0.36
2021,"Mississippi",403188,2947209,0.136803328165732,1368.03328165732,7.22112942658343,0.02
2018,"Maryland",132239,6042153,0.0218860727293731,218.860727293731,5.38843557908507,0.8
2023,"Maryland",1601802,6217062,0.257646135747078,2576.46135747078,7.85417216958508,0.58
2019,"Arizona",64638,7291843,0.00886442563286127,88.6442563286127,4.48463123999385,0.2
2018,"Wisconsin",143767,5809319,0.0247476511446522,247.476511446522,5.51131567425877,0.9
2018,"California",684478,39437463,0.0173560353007494,173.560353007494,5.15652539485004,0.26
2019,"Texas",256812,28986794,0.00885962069485849,88.5962069485849,4.48408904573057,0.18
